id,month,n_seconds_1,n_seconds_2,n_seconds_3,carrier,devicebrand,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,target
5beefd4d2bf4a4767e0df8108,10,"5.245,571","981,182","205,948",VODAFONE TR,Apple,"-1,198","1,113","-1,123","-0,264","2,161","2,651","0,81","1,516","2,351","-4,608","0,678","-0,555","3,502","-0,765","1,543","-1,458","-1,017","-1,82","0,726","-1,444","1,087","2,102","-0,249","-0,583","-1,33","1,407","1,054","-1,532","1,667","0,251","-0,091","2,676","-0,621","0,163","1,72","-6,139","-0,303","2,784","-3,135","-3,794","0,93","-2,613","-2,033","2,646","-1,023","1,659","-1,559","-2,161",30,58,"menu2, menu4, menu5"
867285b116c063d5a8482f5be,10,"5.184,876","557,65","487,587",TURKCELL,samsung,"-2,336","2,568","-0,495","0,949","3,568","3,358","0,434","0,886","1,452","-3,184","1,024","1,166","2,916","-1,281","3,019","-3,163","-1,12","-2,798","0,287","-2,029","0,26","0,962","-0,534","-1,311","-0,144","-1,562","1,931","-0,942",-0,"-1,372","1,225","2,795","-0,961","0,114","1,048","-5,697","0,902","-0,073","-2,366","-0,6","0,815","-0,984","-1,454","-0,022","-0,196","2,776","-0,319","-4,291",21,45,"menu7, menu8, menu4"
c82a7cbd2e00d9b66c06bcadc,10,"3.835,618","3.275,128","43,806",TURK TELEKOM,Redmi,"-2,561","2,062","-0,185","1,062","4,198","1,551","-0,596","-0,619","2,017","-4,631","-0,663","-0,838","1,821","-2,171","3,695","-0,922","-2,873","-2,042","0,533","-0,128","0,45","2,716","-0,178","0,052","-0,518","-0,043","1,157","-0,527","-0,088","-0,497","1,203","2,742","-0,623","1,757","2,059","-5,359","0,929","1,133","-3,1","-1,253","1,057","-1,669","-3,599","1,674","0,632","1,293","-2,231","-2,384",19,61,"menu2, menu8, menu4"
f2d2b25073ccc298eced86897,10,"3.532,544","154,509","64,724",TURKCELL,samsung,"-2,53","3,358","-0,851","1,644","2,849","3,887","1,855","0,988","2,066","-5,804","1,931","0,151","3,145","-2,673","0,378","-2,657","-0,378","-3,276","0,003","-0,674","-0,227","1,817","0,068","-0,787","-1,708",-2,"1,77","0,049","0,23","-0,304","1,659","1,692","-1,105","1,242","2,043","-3,854","0,649","0,944","-3,027","-1,824","0,204","-1,861","-1,22","1,863","0,213","1,03","-1,142","-4,466",2,41,"menu6, menu2, menu1"
7818c92a58af0f2cb7c361738,10,"3.344,192","787,896","715,115",VODAFONE TR,samsung,"-2,922","2,096","0,061","-1,488","3,225","2,092","-0,993","0,686","2,09","-2,974","-0,797","-1,459","2,398","-1,308","3,381","-2,664","-2,219","-1,714","1,288","-2,25","2,345","0,403","-0,077","0,289","1,847","1,424","1,888","-1,022","1,021","-0,843","-0,859","2,565","0,412","0,068","0,391","-5,996","2,675","0,203","-3,272","-1,418","2,188","-0,143","-1,876","1,024","-0,186","-0,062","-1,462","-2,371",23,85,"menu6, menu2, menu8"
08773130c89b00852a36a6c5b,10,"3.011,76","1.929,067","1.183,204",TURKCELL,samsung,"-1,704","1,908","0,648","-2,649","4,141","2,996","-0,534","0,443","0,359","-2,103","-0,105","-0,848","2,612","-0,834","1,886","-2,304","-2,253","-1,944","-0,046","-3,224","1,712","0,293","0,837","-0,219","0,848","0,85","2,408","-1,618","-0,594","-1,404","0,238","3,228","-1,428","1,412","1,128","-4,972","2,597","0,51","-3,672","-2,498","1,52","-1,472","-2,144","-0,686","0,285","2,492","1,227","-2,875",18,70,"menu6, menu2, menu9"
5a0e7b559d8ca4fca42a99f1f,10,"2.996,122","511,165","154,459",TURKCELL,HUAWEI,"-3,273","2,332","0,451","-0,843","2,741","2,51","0,908","0,867","0,547","-3,891","-1,175","-0,112","2,477","-1,166","4,243","-2,765","-1,825","-1,843","-0,423","-2,113","1,886","2,163","-0,856","-0,693","0,976","-0,603","1,091","-0,193","1,234","-1,544","0,77","2,949","-1,536","0,838","-0,599","-6,024","1,538","1,076","-2,701","-1,721","2,265","-1,084","-0,337","1,199","-0,223","0,88","-0,184","-2,5",29,49,"menu2, menu1, menu8"
f42645e0f55854a88de9ea8b3,10,"2.953,813","575,07","547,936",VODAFONE TR,samsung,"-0,584","1,366","-0,424","-0,437","1,96","1,618","0,878","0,317","0,625","-4,841","0,495","-1,847","4,25","-0,529","2,348","-2,561","-2,821","-2,772","0,777","-2,938","2,55","0,226","-0,404","-0,197","0,628","-0,227","1,23","-1,583","1,151","1,335","1,855","2,114","-0,122","0,051","0,778","-5,306","0,082","2,805","-2,194","-0,906","1,166","-4,06","-0,89","1,911","0,168","1,997","-1,117","-2,938",12,49,"menu7, menu2, menu1"
9856bbca3c56d2799034b4dda,10,"2.890,152","421,257","208,859",TURKCELL,samsung,"-1,091","1,391","0,919","-0,289","2,837","3,108","0,615","-0,363","1,826","-5,015","0,452","2,048","2,535","-0,175","2,855","-2,896","-2,108","-3,464","-1,278","-2,046","0,405","1,173","0,197","-0,586","-0,451","-0,721","0,224","-1,504","0,621","-0,988","2,148","3,322","-0,167","1,461","0,825","-5,456","0,77","1,785","-2,928","-2,548","2,147","-1,174","-1,679","1,178","0,363","1,181","-1,546","-2,525",20,45,"menu6, menu2, menu9"
ef747790facdcad197472a68d,10,"2.838,181","311,183","250,555",TURKCELL,Apple,"-1,041","0,6","0,538","-0,942","3,455","2,735","1,082","0,295","0,534","-3,31","-0,099","1,241","3,47","-1,174","3,443","-1,953","-1,451","-2,937","-0,676","-2,133","1,942","2,091","-1,387","-0,717","0,152","-0,478","0,393","-1,725","0,969","-2,436","-0,211","3,2","-0,056","0,592","-0,203","-6,452","1,068","1,36","-2,841","-0,679","1,789","-1,072","-0,353","0,668","0,6","0,547","-0,364","-2,791",17,44,"menu2, menu4, menu5"
